lval,op,rval,Estimate,Std. Err,z-value,p-value
FEARFUL,~,ENDO,-1.9433408315168808,0.3342090060571279,-5.814747048375118,6.072564229242516e-09
FEARFUL,~,PELVCPN,0.23190295033508082,0.3545169705383083,0.6541377976413905,0.5130230317908264
FEARFUL,~,ABBLEED,0.20681098703711012,0.21429625071913727,0.9650704869643164,0.33450950800682167
FEARFUL,~,FIBRUTR,0.4757395204604762,0.22568288855251256,2.107999961847669,0.03503099273265109
FEARFUL,~,STATUS,-0.03530950860546435,0.02159408290079059,-1.635147404316785,0.10201815075172327
FEARFUL,~,SLEEPQL,-0.00847126239957929,0.017063769477598717,-0.4964473066870658,0.6195788555821602
FEARFUL,~,RESTLES,0.21000987207220462,0.02144273648159836,9.79398652045349,0.0
ENDO,~,DEPRESS,-0.07235063023057571,0.0732162901203254,-0.988176676401997,0.32306612875237883
ENDO,~,BLUES,-0.07176713085433664,0.11186723570647775,-0.6415384308056106,0.5211729203991216
ENDO,~,QLTYLIF,0.16267893991276255,0.046022830535280085,3.534744343560567,0.00040816986312641745
ENDO,~,FEARFUL,0.4848937493732516,0.07206565259174823,6.728500081910659,1.7142065544817342e-11
ENDO,~,AGE,-0.003668242650676388,0.003967987072219875,-0.9244593248384109,0.35524721957459304
ENDO,~,MARITAL,0.006018099930241417,0.00797055035790141,0.755041955606049,0.45022380870687995
ENDO,~,INCOME,-0.006169579999979413,0.004938724985245249,-1.2492252589812542,0.21158269586447576
PELVCPN,~,DEPRESS,0.6981238564328743,0.09120500222134821,7.654447008629217,1.9317880628477724e-14
PELVCPN,~,BLUES,-0.6504866491823968,0.08461001869766807,-7.688057031390737,1.4876988529977098e-14
PELVCPN,~,QLTYLIF,0.05694411095984972,0.039385630605648154,1.4458092985373645,0.14823069732439453
PELVCPN,~,FEARFUL,-0.02893107071693432,0.08467992212214676,-0.34165207042657614,0.7326127460259662
PELVCPN,~,AGE,0.005752275456600764,0.004414887588080857,1.3029268221523032,0.19259974578891015
PELVCPN,~,MARITAL,0.0032926523699363473,0.008825011021219905,0.3731046184130533,0.7090705814792182
PELVCPN,~,INCOME,-0.004313001096404991,0.005480074974234832,-0.7870332278109333,0.43126241516376185
ABBLEED,~,DEPRESS,-0.04261349585017486,0.013000800419741717,-3.2777594048892946,0.001046345390600445
ABBLEED,~,BLUES,-0.008542236564752406,0.017474555856412142,-0.4888385510026606,0.6249560026074514
ABBLEED,~,QLTYLIF,-0.008907998264829898,0.004741990668929704,-1.8785355950440854,0.06030793238440246
ABBLEED,~,FEARFUL,0.0020196510151513198,0.01595843483656255,0.126556960987021,0.8992910631035176
ABBLEED,~,AGE,-0.0027303160439152915,0.0019764105377707212,-1.381451874676544,0.16714006527880287
ABBLEED,~,MARITAL,-0.00235243704826864,0.004049010659836839,-0.580990579012811,0.5612468030147064
ABBLEED,~,INCOME,-0.0028328081222862766,0.002506121212097036,-1.1303555899379363,0.25832641925779165
FIBRUTR,~,DEPRESS,0.3387282228147566,0.28955055750494,1.1698413766922475,0.24206480908104355
FIBRUTR,~,BLUES,1.0535997331330367,0.26103151522905943,4.036293212351962,5.4302343969636624e-05
FIBRUTR,~,QLTYLIF,0.4563418602026062,0.12702752912153428,3.59246427412129,0.000327565574005817
FIBRUTR,~,FEARFUL,-0.8290256716267453,0.32366144967299226,-2.5613976346635683,0.010425195875460425
FIBRUTR,~,AGE,0.009317336060809296,0.010901923952891739,0.8546506194884269,0.39274459543332374
FIBRUTR,~,MARITAL,0.003413373982850434,0.02204423371431121,0.15484203383670422,0.8769458526091778
FIBRUTR,~,INCOME,-0.0008474246721384078,0.013861702518944691,-0.06113424169355129,0.9512522992122214
SLEEPQL,~,EXERCIS,-0.08650251268315905,0.077240973961565,-1.1199044787431431,0.2627544695282742
SLEEPQL,~,YOGA,0.013191802211049021,0.07444876915716384,0.17719301957865136,0.8593567784786487
SLEEPQL,~,OVERHLT,0.006520831469970294,0.024690491664426006,0.2641029412590187,0.7917005975392768
SLEEPQL,~,BODYPAI,0.016495569264920844,0.025153153215734025,0.6558052234161474,0.5119494551530792
RESTLES,~,EXERCIS,0.06682086763830337,0.05565806955535564,1.2005602812121436,0.22992181599137673
RESTLES,~,YOGA,-0.016649889661776506,0.05364607098457779,-0.3103655003225243,0.7562830263973002
RESTLES,~,OVERHLT,0.05662704510148141,0.017791400495524096,3.182832352773163,0.0014584203078038538
RESTLES,~,BODYPAI,0.1521014590051114,0.018124783769744638,8.391904749264906,0.0
ABBLEED,~~,ABBLEED,0.043840749112364165,0.001729774148127101,25.344782227487677,0.0
BLUES,~~,BLUES,0.9386670817421475,0.16455003158580087,5.704447897641372,1.1672078858993018e-08
DEPRESS,~~,DEPRESS,1.5074698460033555,0.3340810069672718,4.51228838084328,6.413190936527258e-06
ENDO,~~,ENDO,0.16933794932533497,0.022612595820406922,7.488655909421328,6.94999613415348e-14
FEARFUL,~~,FEARFUL,0.6952020928505498,0.08870081662946769,7.837606453464781,4.6629367034256575e-15
FIBRUTR,~~,FIBRUTR,1.2654453192625719,0.1466317012703967,8.630093685678466,0.0
PELVCPN,~~,PELVCPN,0.20724513058574623,0.03442323656988761,6.020501011256373,1.7387802309087874e-09
QLTYLIF,~~,QLTYLIF,6.686382016099812,0.8480301663686741,7.884603969601098,3.1086244689504383e-15
RESTLES,~~,RESTLES,0.9231110514431203,0.03279097385416655,28.151376519659994,0.0
SLEEPQL,~~,SLEEPQL,1.7778419705866415,0.06315293212361528,28.15137652007273,0.0
